Model,Precision,Recall,F1 Score
Logistic Regression,0.8289473684210527,0.6428571428571429,0.7241379310344828
Decision Tree,0.9047619047619048,0.7755102040816326,0.8351648351648352
Random Forest,0.9390243902439024,0.7857142857142857,0.8555555555555555
